username,total_repositories,total_commits,days_active,total_followers,total_stars,total_forks,influence_score,primary_language,languages_used,complexity_score
mabelolivera10,30,26093,365,1198,151,22,2882.0,CSS,3,32.093
devaige,30,2793710,365,1178,2889,692,12061.0,SCSS,30,2853.71
mriscoc,30,541374,365,1107,3148,456,12342.0,G-code,42,625.374
apholdings,30,850258,365,674,312,101,2435.5,Dockerfile,8,866.258
joelibaceta,30,194920,365,656,11,5,1352.5,MATLAB,31,256.91999999999996
CodigoEstudiante,30,638787,365,613,113,81,1686.5,Less,8,654.787
csaybar,30,1018087,365,555,195,98,1842.0,Less,15,1048.087
goandreus,30,24174,365,552,45,4,1245.0,Dockerfile,19,62.174
emedinaa,30,351040,365,508,132,43,1476.5,JavaScript,5,361.04
dcajasn,7,901338,365,503,3827,613,13406.5,R,15,931.338
Franklin369,30,164506,365,438,40,16,1020.0,C#,10,184.506
carlosal1015,30,2937969,365,423,3,3,859.5,MATLAB,22,2981.969
BracoZS,15,61137,365,370,36,4,854.0,C#,9,79.137
marco-soria,30,99261,365,367,5,0,749.0,JavaScript,5,109.261
gustarting,30,180121,365,362,21,0,787.0,Dockerfile,9,198.121
gianbdev,30,60275,365,341,31,1,776.5,Smali,51,162.275
luismayta,30,23838,365,336,26,0,750.0,HCL,10,43.838
JkDevArg,30,80769,365,326,65,41,908.5,SCSS,19,118.769
gcoronelc,30,842634,365,310,7,1,642.5,Batchfile,6,854.634
jorgemunozl,16,179493,365,310,110,4,956.0,Dockerfile,12,203.493
Anders87x,30,671046,365,294,32,32,732.0,Dockerfile,24,719.046
ivandevp,30,148254,365,262,16,34,623.0,Objective-C,11,170.254
Rimac-Seguros,0,0,365,260,0,0,520.0,None,0,0.0
ambarja,30,2630272,365,255,34,11,628.5,R,9,2648.272
Railly,30,68161,365,237,16,6,531.0,Rust,15,98.161
brian-emarquez,30,3212007,365,217,23,4,509.0,Liquid,19,3250.007
yaperos,6,2852,365,207,18,531,1264.5,Dockerfile,6,14.852
marsam,30,3576067,365,207,21,6,486.0,MATLAB,61,3698.067
KattyaCuevas,30,1720006,365,200,8,1,425.5,SCSS,15,1750.006
alexmarinmendez,30,2197,365,176,5,4,373.0,JavaScript,6,14.197
avelasquezn,30,3454,365,173,1,1,350.5,Vue,10,23.454
WelsTheory,30,236930,365,171,82,83,712.5,Dockerfile,20,276.93
jmcastagnetto,30,130642861,365,167,86,55,674.5,Prolog,15,130672.861
wajahat-ali-mir-dev,27,1680421,365,161,41,1,446.5,C#,7,1694.421
marcelo-earth,30,104906,365,159,47,28,501.0,Dockerfile,12,128.906
bjrmatos,30,207851,365,155,39,6,436.0,CSS,4,215.851
jansanchez,30,229247,365,154,35,6,422.0,Groff,18,265.247
santiagourdaneta,30,57564,365,149,15,6,352.0,Dockerfile,22,101.564
JuanAlva,30,1958720,365,139,5,0,293.0,Linker Script,16,1990.72
mario21ic,30,72778,365,138,5,2,294.0,HCL,18,108.778
geraldmoreno993,30,858309,365,127,13,0,293.0,R,16,890.309
JoseMascaros,10,441183,365,125,12,9,299.5,Less,10,461.183
ljporras,20,254759,365,121,66,16,464.0,R,6,266.759
DataEngineering-LATAM,8,39263,365,119,177,64,865.0,Jupyter Notebook,4,47.263
jesulink2514,30,3619272,365,117,21,9,310.5,Dockerfile,23,3665.272
erickorlando,30,179141,365,113,24,6,307.0,C#,18,215.141
